# SCENE 1  (clip 28.3s)
   0.00	   4.02	You give your agent a task, it starts running.
   4.02	   7.52	You check back 20 minutes later, it's still running.
   7.52	  13.32	Your bill just hit $40, and it hasn't made a single useful change.
  13.32	  15.00	That's not a model problem.
  15.00	  17.50	The model is doing exactly what you told it.
  17.50	  23.28	The problem is the harness around it, specifically the harness failed to prevent.
  23.28	  25.96	There are four ways a harness can go wrong.
  25.96	  28.32	Once you see them, you will recognize them everywhere.

# SCENE 2  (clip 25.0s)
   0.00	   6.00	These 4 failure modes aren't random bugs, they are architectural gaps.
   6.00	   9.00	Things are naive, harness leaves open by default.
   9.00	  18.00	A harness that does nothing special will loop forever, bury itself in junk, hand the model a hundred tools it can't choose between
  18.00	  22.00	and let it delete your database on the first bad suggestion.
  22.00	  25.00	Here is each one and the exact fix.

# SCENE 3  (clip 123.2s)
   0.00	   6.10	The agentic loop has no natural stopping condition by design.
   6.10	   8.92	Each iteration costs tokens.
   8.92	  14.12	Input tokens for the full context you are resending every turn plus output tokens for
  14.12	  15.36	the reply.
  15.36	  23.92	On a 200,000 token context, one loop iteration can cost 30 cents, 50 iterations, 15 dollars.
  23.92	  29.40	And a model that's stuck chasing a bug it can't reproduce or oscillating between two
  29.40	  34.96	tool calls will happily loop until you stop it or your credit card does.
  34.96	  37.00	The fix has two parts.
  37.00	  38.96	Hard iteration limits.
  38.96	  43.32	Set a max iteration's budget before the agent starts.
  43.32	  44.32	Not a suggestion.
  44.32	  45.72	A kill switch.
  45.72	  49.02	Claude code's default is around 200.
  49.02	  54.44	Production systems are often tighter, 10 to 20 for focused tasks.
  54.44	  55.84	Stall detection.
  55.84	  60.52	If the last three tool calls are identical you are in a loop.
  60.52	  61.52	Surface it.
  61.52	  62.52	Stop the agent.
  62.52	  65.32	Ask the human what to do next.
  65.32	  69.16	Don't let the model retry its way to the bankruptcy.
  69.16	  71.68	But iterations are just one meter.
  71.68	  74.00	Runaway cost runs on three.
  74.00	  76.36	Steps, tokens and wall clock time.
  76.36	  78.20	So budget all the three.
  78.20	  80.16	A token card.
  80.16	  81.90	A hard time out.
  81.90	  83.76	Not only a loop limit.
  83.76	  86.56	Very serious framework shifts these now.
  86.56	  90.56	LangGraph halts at 25 steps by default.
  90.56	  94.08	AutoGen has a separate token and time out cutoffs.
  94.08	  99.40	The OpenAI agent's SDK cap turns and throws the moment you blow past it.
  99.40	 102.24	And the smartest stop isn't a counter at all.
 102.24	 103.24	It's progress.
 103.24	 108.56	If the tests are still red and the file is unchanged, the agent isn't working.
 108.56	 110.12	It's failing.
 110.12	 113.56	Stop on no progress even at iteration three.
 113.56	 115.60	One number to hold onto.
 115.60	 118.92	Cost scales with context length times iterations.
 118.92	 123.20	A bloated context makes runaway loops catastrophically expensive.

# SCENE 4  (clip 119.8s)
   0.00	   2.64	Here is the one that surprises people.
   2.64	   6.00	A longer conversation makes the model dumber.
   6.00	  10.00	The model re-reads the entire context every single turn.
  10.00	  13.28	Early in a task, the context is tight.
  13.28	  15.60	System prompt, tools, the goal.
  15.60	  17.76	But tool results pile up fast.
  17.76	  20.88	A grep that returned 800 lines.
  20.88	  24.12	A file read that was only partially relevant.
  24.12	  27.60	A failed attempt that's now just noise.
  27.60	  31.00	By turn 30, the model is wading through thousands of tokens
  31.00	  35.20	of junk to find the three lines that actually matter.
  35.20	  37.24	This is context rot.
  37.24	  39.60	And it causes real regressions.
  39.60	  42.08	The model starts losing the thread,
  42.08	  44.40	contradicting its earlier decisions,
  44.40	  47.88	forgetting things it knew 10 turns ago.
  47.88	  50.24	The fix is context engineering.
  50.24	  52.76	You don't dump everything into the prompt.
  52.76	  54.12	You curate it.
  54.12	  57.24	Summaries instead of raw tool output.
  57.24	  61.36	Truncated file reads with the relevant section highlighted.
  61.36	  66.00	Compaction that preserves decisions, not transcripts.
  66.00	  68.76	Curation has a deeper move than trimming.
  68.76	  71.12	Get the junk out of the window entirely.
  71.12	  72.84	Offload to a subagent.
  72.84	  75.80	Let a helper burn 30,000 tokens reading
  75.80	  79.36	and hand back a 2,000 token summary.
  79.36	  81.96	The noise never touches the main thread.
  81.96	  83.64	Write to a memory file.
  83.64	  86.32	Notes on disk, the agent re-reads.
  86.32	  88.84	So state outlives the window.
  88.84	  90.32	And mind the middle.
  90.32	  92.72	Models reliably lose what's buried
  92.72	  94.80	in the middle of a long context.
